Lineage_ID,Theme,Year,Question_Number,Question_Text
4,統合失調症（特徴と症状）,2025,大問3 1,1.統合失調症について間違っているものを選べ ①発病危険率は1%で、性差はない ②自殺率は10%である ③好発年齢は50歳代で、中高年に多い ④初発患者の再発率は80%？ [3]
4,統合失調症（特徴と症状）,2025,大問3 2,2.統合失調症の症状について適切なものはどれか？ ①連合弛緩 ②意識障害 ③関心がなくなる ④常同的・反復的な行動 [3]
5,統合失調症（心理社会的支援）,2023,1ページ目 4,４.統合失調症の患者に対する心理社会的支援で誤っているのはどれか。１つ選びなさい。 ①社会復帰支援につながる ②心理社会的支援にはデイケアや職業リハビリテーションなどがある ③心理社会的支援は再発防止につながる ④入院治療中に心理教育や社会生活技能訓練（SST）は行ってはならない [6]
5,統合失調症（心理社会的支援）,2025,大問3 3,3.統合失調症の患者に対する心理社会的支援で誤っているのはどれか。１つ選びなさい。 ①社会復帰支援につながる ②心理社会的支援にはデイケアや職業リハビリテーションなどがある ③心理社会的支援は再発防止につながる ④入院治療中に心理教育や社会生活技能訓練（SST）は行ってはならない [3]
6,統合失調症（事例：服薬拒否）,2024,第三問 3,3. 女性患者 A さんは統合失調症で入院した。服薬の時に「この薬を飲むと舌がピリピリする。薬で私を殺そうとするでしょう」と言って、服薬を拒否した。A さんに適切な対応はどれか。 A. 服薬に対する不満について聞く B. 薬物治療を直ちに中止する C. A さんの訴えの不適切なところを教える D. 精神科医の指示により注射を行う [2]
6,統合失調症（事例：服薬拒否）,2025,大問3 6,6.女性患者のAさんは統合失調症で入院した。Aさんは、「この薬を飲むと舌がピリピリする。来るしで私を殺そうとしているんでしょ」と険しい表情で言い、服薬を拒否している。 ①服薬に関する不満を聞く。 ②直ちに薬物療法を中止する。 ③Aさんの訴えの不合理な点を指摘する。 ④医師からの指示を受けて注射を施行する。 [7]
7,統合失調症（事例：セルフケア・副作用等）,2025,大問3 7,7.Aさん(25歳・女性)は統合失調症と診断され入院2か月が経過した。食事や水分の摂取、トイレ歩行は1人でできる。歯磨き、入浴への関心はあまりない。幻聴が聞こえると突然走り出し、壁に頭をぶつけている。日中はホールで過ごし、自分から他の患者と交流はしない。Aさんのセルフケアのアセスメントで優先度が高いのはどれか。①排泄 ②個人衛生 ③安全を保つ能力 ④活動と休息のバランス ⑤孤独と付き合いのバランス [7]
7,統合失調症（事例：セルフケア・副作用等）,2025,大問3 8,8.Aさん（21歳、男性）は統合失調症と診断され、ハロペリドールの投与が開始された。入院後3日、39.5°Cの急激な発熱、発汗、筋固縮および意識障害を認めた。Aさんの状態で考えられるのはどれか。①昏迷 ②悪性症候群 ③てんかん発作 ④静座不能（アカシジア） [7]
7,統合失調症（事例：セルフケア・副作用等）,2025,大問3 9,9.Aさん（60歳、男性）は、統合失調症で20年前から抗精神病薬を服用している。常に口を動かしているため、何か食べていないか看護師が口の中を確認するが、何も口には入っていない。Aさんは「勝手に口と舌が動いてしまう」と言う。Aさんに現れている症状はどれか。①被害妄想 ②作為体験 ③カタレプシー ④遅発性ジスキネジア ⑤静座不能〈アカシジア〉 [7, 8]
7,統合失調症（事例：セルフケア・副作用等）,2025,大問3 10,10.Aさん(25歳、男性)は統合失調症と診断された。抗精神病薬の投薬開始から2日後から気分が落ち着かず「足がムズムズする」と歩き回り始めた。この状態から考えられる症状はどれか。 ①アカシジア ②ジストニア ③ジスキネジア ④パーキンソニズム [8]
8,発達障害・知能障害,2023,1ページ目 1,1.発達障害について間違っているものを一つ選べ ①発病危険率は１％で、性差はない ②自殺率は 10％である ③好発年齢は 50 歳である ➃初発患者の再発率は 80% [6]
8,発達障害・知能障害,2023,2ページ目 1,1.知能程度による分類について記述しなさい。[9]
8,発達障害・知能障害,2023,2ページ目 2,2.広汎性発達障害の３つの特性は何か記述しなさい [9]
8,発達障害・知能障害,2025,大問4 1,1.発達障害について正しいものを一つ選びなさい ① Wingが提唱したASDの３つの特徴は①社会性の障害 ②コミュニケーションの障害 ③常同性・限局性の障害である ②発達障害の原因は子育ての影響が大半を占める ③自閉症スペクトラムの原因の一つは、シナプスの刈り込みの過剰が挙げられる ④発達障害は薬物療法で完治することがある ⑤発達障害時分障害は合併することはない [8]
9,全般性不安障害,2023,4ページ目,全般性不安障害について誤っているものを選べ。 1.特定の出来事に対する過剰な不安である 2.運動性緊張がある 3.抗うつ薬が用いられる 4.自律神経性の過活動である [1]
9,全般性不安障害,2024,第四問 1,1. 全般性不安障害について誤っているものを選べ。 1.特定の出来事に対する過剰な不安である 2.運動性緊張がある 3.抗うつ薬が用いられる 4.自律神経性の過活動である [10]
9,全般性不安障害,2025,大門5 1,1.全般不安症について誤っているものを選べ ①特定の不安に対する過剰な不安である ②運動性緊張が見られる ③自律神経性過活動が見られる ④治療に抗うつ薬を用いる [11, 12]
10,パニック障害,2023,4ページ目,パニック障害の症状で正しいものを選べ。 1.強い怒り 2.予期不安 3.思考途絶 4.離人症 [1]
10,パニック障害,2024,第四問 2,2. パニック障害の症状で正しいものを選べ。 1.強い怒り 2.予期不安 3.思考途絶 4.離人 [2, 10]
10,パニック障害,2025,大門5 2,2.パニック障害の症状で正しいものを1つ選べ。 ①強い怒り ②思考途断 ③予期不安 ④離人症 [12]
11,強迫性障害,2023,4ページ目,強迫性障害について正しいものはどれか。1 つ選べ。 ①脅迫行為 ②強迫観念 ③健忘 ④観念奔逸 [1]
11,強迫性障害,2024,第四問 3,3. 強迫性障害について正しいものはどれか。1 つ選べ。 1.脅迫行為 2.強迫観念 3.健忘 4.観念奔逸 [10]
11,強迫性障害,2025,大問4 5,5.強迫性障害について正しいものを選べ。 ①強迫性障害の日本の有病率は5%である。 ②強迫性障害は女性の方が男性よりも3倍発病しやすい。 ③強迫性障害の薬物療法の選択薬は気分安定剤である。 ④強迫性障害は強迫行為を打ち消すために強迫観念を行うことである。 ⑤暴露反応妨害法では不安を感じる場面にさらし、習慣的行動を我慢しやらなくても安全という体験をさせ反復して訓練する。 [11]
12,PTSD,2023,4ページ目,30代の女性。通勤中に交通事故にあい、車は大破したが幸い大きな怪我には至らなかった。しかし 1ヵ月以上経過し、事故の夢を見たりして睡眠不足になったり、事故の様子が突然よみがえるようになった。日常生活に影響が続いている。 この障害で考えられるのは？ ①全般性不安障害 ②統合失調症 ③PTSD [1]
12,PTSD,2024,第四問 4,4. 30 代の女性。通勤中に交通事故にあい、車は大破したが幸い大きな怪我には至らなかった。しかし 1 ヵ月以上経過し、事故の夢を見たりして睡眠不足になったり、事故の様子が突然よみがえるようになった。日常生活に影響が続いている。この障害で考えられるのは？ 1.全般性不安障害 2.統合失調症 3.PTSD(心的外傷後ストレス障害) [10]
12,PTSD,2025,大門5 4,4.Aさん（24歳、女性）は、2か月前に交通事故で受傷した。それ以来、事故の夢をみたり、事故の様子が突然よみがえるようになり、日常生活に影響が続くようになった。最も考えられる障害はどれか。 ①全般不安症 ②統合失調症 ③外傷後ストレス障害 ④境界性人格＜パーソナリティ＞障害？ [12]
13,認知症,2023,1ページ目 9,９．認知症における記憶障害では、昔の記憶から喪失し、最近の記憶は保たれる。 [6]
13,認知症,2024,第五問 1,1. 認知症における記憶障害では、昔の記憶から障害され、最近の記憶は保たれやすい [10]
13,認知症,2024,第五問 2,2. アルツハイマー型認知症では記銘力障害は見られにくい [10]
13,認知症,2024,第五問 3,3. レビー小体型認知症では、認知機能障害の他に、認知機能の変動、幻視、レム睡眠、パーキンソニズムといった特徴的症状が見られることがある。 [10]
13,認知症,2025,大門6 1,1.Lewy小体認知症では、認知機能の他に認知機能の変動、幻視、レム睡眠行動障害、パーキンソニズムといった特徴的症状がみられることがある [12]
13,認知症,2025,大門6 2,2.アルツハイマー型認知症は記名性障害が見られにくい。 [12]
13,認知症,2025,大門6 8,8.認知症における記憶障害では昔の記憶から喪失し、最近の記憶は保たれる [13]
14,せん妄,2023,3ページ目,ベンゾジアゼピン系の睡眠薬や手術はせん妄を誘発しうる。 [9]
14,せん妄,2024,第五問 5,5. 手術はせん妄を誘発するリスクとなる [10]
14,せん妄,2024,第五問 6,6. せん妄患者は夜の睡眠をとりにくくなるので、ベンゾジアゼピン系の睡眠薬を使用することが推奨される。 [5]
14,せん妄,2025,大門6 3,3. せん妄患者は夜の睡眠をとりにくくなるので、ベンゾジアゼピン系の睡眠薬を使用することが推奨される。 [12]
14,せん妄,2025,大門6 4,4．手術はせん妄を誘発するリスクとなる。 [12]
15,てんかん,2023,3ページ目,てんかんを持っていても、服薬を継続していれば、意識が持続する発作が 1 か月に 1 度程度ならば運転免許を取得することができる [9]
15,てんかん,2024,第五問 4,4. てんかんを持っていても、服薬を継続していれば、意識が持続する発作が 1 か月に 1 度程度ならば運転免許を取得することができる [10]
15,てんかん,2024,第五問 7,7. てんかん発作は心理的な葛藤を主な原因として生じる [5]
15,てんかん,2024,第五問 9,9. てんかん患者において、薬物療法を続けているのであれば、1 カ月に 1 回程度の意識減損を伴うてんかん発作があったとしても運転免許を取得できる [5]
15,てんかん,2025,大門6 5,5.単純てんかん発作は意識障害を伴う。 [12]
15,てんかん,2025,大門6 6,6.てんかん発作は心理的葛藤が主な原因となる [12]
15,てんかん,2025,大門6 7,7.てんかん患者において薬物療法を続けるのであれば１ヶ月に１回程度の意識現存を伴うてんかん発作があったとしても運転免許を取得することができる [12]
16,睡眠障害,2023,3ページ目,不眠障害の治療では昨晩寝つきが遅くなった場合、睡眠時間を取り戻すように、翌朝早く起きたり、昼寝を長時間したりするよう指導する。 [9]
16,睡眠障害,2024,第五問 8,8. 不眠障害の治療では昨晩寝つきが遅くなった場合、睡眠時間を取り戻すように、翌朝早く起きたり、昼寝を長時間したりするよう指導する。 [5]
16,睡眠障害,2024,第五問 10,10. 睡眠時無呼吸症候群の治療では、経鼻的持続陽圧呼吸(CPAP)を用いることがある [5]
16,睡眠障害,2025,大門6 9,9.不眠症治療においては、前の晩に寝るのが遅くなった場合には、睡眠不足を取り返そうと朝起きるのを遅くしたり、昼間に長時間の睡眠をとるようにしたりする。 [13]
16,睡眠障害,2025,大門6 10,10.睡眠時無呼吸症候群には、持続陽圧呼吸療法（CPAP）が用いられる [13]
17,依存症（アルコール等）,2023,2ページ目 3,3.アルコール使用障害の治療３本柱は何か記述しなさい [9]
17,依存症（アルコール等）,2025,大問4 2,2.依存症について正しいものを選べ ①アルコール依存症が増加している ②近年、市販薬の依存が問題になっている ③依存症には個人療法が奏功する ④精神依存とは、薬物が使用できなくなった時に離脱症状が現れることである ⑤覚せい剤によって身体依存が形成される [8]
18,摂食障害,2023,2ページ目 4,4.摂食障害の治療目標について、治療の目的も含めて記述しなさい [9]
18,摂食障害,2025,大問4 4,4.摂食障害について正しいものを一つ選びなさい ①摂食障害とは体重が標準体重の８５％以下となった状態を指す。 ②摂食障害は男性が罹患しやすい精神疾患である。 ③摂食障害は視床下部の障害で発症する。 ④摂食障害は摂食の病ではなく、行動の病である。 ⑤摂食障害の治療には行動制限療法が必ず用いられる。 [11]
19,パーソナリティ障害,2025,大問4 3,3.パーソナリティ障害について正しいものはどれか ①人格障害は、転換や解離などの防衛規制によって不安を軽減する ②反社会性人格障害は、家庭環境が非常に影響を受ける ③境界性人格障害の患者は自身の苦痛を排除するために防衛機制を行う(？) ④人格障害の第一選択は薬物療法である ⑤人格障害は、言わば性格が悪いということである [8, 11]
20,知覚障害,2025,大門5 3,3.知覚障害はどれか。 ①幻味 ②離人症 ③観念妄想 ④注察奔走 [12]
21,知能程度による分類（記述）,2023,2ページ目 1,1.知能程度による分類について記述しなさい。
22,広汎性発達障害の特性（記述）,2023,2ページ目 2,2.広汎性発達障害の３つの特性は何か記述しなさい
23,アルコール使用障害の治療（記述）,2023,2ページ目 3,3.アルコール使用障害の治療３本柱は何か記述しなさい
24,摂食障害の治療目標（記述）,2023,2ページ目 4,4.摂食障害の治療目標について、治療の目的も含めて記述しなさい
