Lineage_ID,Theme,Year,Question_Number,Question_Text
L02,ヒストン修飾と転写活性,2016,問1(3),"ヒストンのメチル化は、修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストン H3 の N 末端から 4 番目のリシンのトリメチル化は(活性・不活性)な染色体領域に、9 番目のリシンのジメチル化やトリメチル化は(活性・不活性)な染色体領域によく観察される。"
L02,ヒストン修飾と転写活性,2018,問1(3),"ヒストンのメチル化は、修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストン H3の N 末端から 4 番目のリシンのトリメチル化は（活性・不活性）な染色体領域に、9番目のリシンのジメチル化やトリメチル化は（活性・不活性）な染色体領域によく観察される。"
L02,ヒストン修飾と転写活性,2020,問(4),"ヒストンのメチル化は、修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストン H3 のアミノ末端から 4 番目に存在するリシン(H3K4)のトリメチル化は([4-A]活性・不活性)な染色体領域に、9番目のリシン(H3K9)のジメチル化やトリメチル化は([4-B]活性・不活性)な染色体領域によく観察される。"
L02,ヒストン修飾と転写活性,2022,問3,"ヒストンのメチル化は、修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストンH3のアミノ末端から4番目に存在するリシン(H3K4)のトリメチル化は(9)【活性/不活性】な染色体領域に、9番目のリシン(H3K9)のジメチル化やトリメチル化は(10)【活性/不活性】な染色体領域によく観察される。ヒストン修飾酵素には様々なものがあるが、リシンをメチル化する酵素とリシンをアセチル化する酵素を比べた場合、酵素が作用するリシンの特異性が高く、特定のリシンを修飾の標的にしているのは、（11）【メチル化酵素/アセチル化酵素】である。ヒストン脱メチル化酵素が作用できるメチル基の数は、酵素によって違いが（12）【ある/ない】ことが知られている。"
L02,ヒストン修飾と転写活性,2025,問1(1),"ヒストンのメチル化は、修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストン H3 のアミノ末端から 4 番目に存在するリシン (H3K4)のトリメチル化は(9)【活性/不活性】な染色体領域に、9 番目のリシン(H3K9)のジメチル化やトリメチル化は(10)【活性/不活性】な染色体領域によく観察される。 ヒストン修飾酵素には様々なものがあるが、リシンをメチル化する酵素とリシンをアセチル化する酵素を比べた場合、酵素が作用するリシンの特異性が高く、特定のリシンを修飾の標的にしているのは、（11）【メチル化酵素/アセチル化酵素】である。ヒストン脱メチル化酵素が作用できるメチル基の数は、酵素によって違いが（12）【ある/ない】ことが知られている。"
L03,エピジェネティクス修飾の供与体,2016,問1(7),"DNA 新規メチル化酵素、DNA 維持メチル化酵素、ヒストンメチル化酵素などが働くために必要な「メチル基の供与体」の名称は、( )である。また、ヒストンアセチル化酵素が利用する「アセチル基の供与体」は( )である。"
L03,エピジェネティクス修飾の供与体,2018,問1(7),"DNA 新規メチル化酵素,DNA 維持メチル化酵素,ヒストンメチル化酵素などが働くために必要な「メチル基の供与体」の名称は（ ）である。また、ヒストンアセチル化酵素が利用する「アセチル基供与体」は（ ）である。"
L03,エピジェネティクス修飾の供与体,2020,問(6),"DNA 新規メチル化酵素,DNA 維持メチル化酵素,ヒストンメチル化酵素などが働くために必要な「メチル基の供与体」の名称は、(6-A)である。また、ヒストンアセチル化酵素が利用する「アセチル基の供与体」は(6-B)である。"
L03,エピジェネティクス修飾の供与体,2022,問4,"DNA新規メチル化酵素,DNA 維持メチル化酵素,ヒストンメチル化酵素などが働くために必要なメチル基供与体の名称は（16）である。また、アセチル供与体の名称は（17）である。"
L03,エピジェネティクス修飾の供与体,2023,問(4),"DNA 新規メチル化酵素 ,DNA 維持メチル化酵素 ,ヒストンメチル化酵素などが働くために必要なメチル基供与体の名称は( )である。リン酸基供与体は( )である。ADP リボース供与体は( )である。"
L03,エピジェネティクス修飾の供与体,2024,問(3),"アセチル基供与体と ADP リボース供与体、供与体とリン酸機供与体、アセチル基供与体"
L03,エピジェネティクス修飾の供与体,2025,問1(2),"DNA 新規メチル化酵素,DNA 維持メチル化酵素,ヒストンメチル化酵素などが働くために必要なメチル基供与体の名称は（16）である。また、アセチル供与体の名称は（17）である。 リン酸基供与体は( ATP )である。ADP リボース供与体は( NAD )である。"
L04,DNAメチル化酵素（DNMT）とその補助因子,2018,問1(12),"ヒトやマウスの DNAメチル基転移酵素として、DNMT1、DNMT3A、DNMT3B が知られている。このうち DNMT1は主に DNA複製時に生じるヘミメチル化部位に作用し...その際にヘミメチル化部位を識別していると考えられているのが、DNMT1とともに働いている（ ）というタンパク質である。また、DNMT3A や 3B は...被修飾状態のヒストンテールと相互作用する（ ）というタンパク質との相互作用が DNMT3A や 3Bの働きを強めると考えられている。"
L04,DNAメチル化酵素（DNMT）とその補助因子,2020,問(7),"ヒトやマウスの DNA メチル基転移酵素として、DNMT1、DNMT3A、DNMT3B が知られている。...DNMT1 とともに働いている（7-A）というタンパク質である。また、DNMT3A や 3B は...（7-B）というタンパク質との相互作用が DNMT3A や 3B の働きを強めると考えられている。"
L04,DNAメチル化酵素（DNMT）とその補助因子,2022,問6,"ヒトやマウスのDNAメチル基転移酵素として、DNMT1、DNMT3A、DNMT3Bが知られている。...DNMT1とともに働いている(21)というタンパク質である。DNMT3Aや3Bは...（22）というタンパク質との相互作用がDNMT3Aや3Bの働きを強めると考えられている。"
L04,DNAメチル化酵素（DNMT）とその補助因子,2023,問(6),"ヒトやマウスの DNA メチル基転移酵素として DNMT１、DNMT３A、DNMT３B が知られている。...DNMT1 とともに働いている( )というタンパク質である。DNMT3A や 3B は...（ ）というタンパク質との相互作用が DNMT3A や 3B の働きを強めると考えられている。"
L04,DNAメチル化酵素（DNMT）とその補助因子,2025,問1(5),"ヒトやマウスの DNA メチル基転移酵素として、DNMT1、DNMT3A、DNMT3B が知られている。このうち、DNMT1 は主に DNA 複製時に生じるヘミメチル化部位に作用し...DNMT1 とともに働いている(21)というタンパク質である。"
L05,TETタンパク質と能動的・受動的脱メチル化,2016,問4,"Tet タンパク質が関与する DNA 脱メチル化の分子機構についての問題です。Tet タンパク質によって 5-メチルシトシンから変化した塩基はどのような過程を経てシトシン(非メチル化状態)に変化すると考えられているのか。能動的な脱メチル化経路と受動的な脱メチル化経路のそれぞれについて説明しなさい。"
L05,TETタンパク質と能動的・受動的脱メチル化,2017,問3,"DNAのメチル化シトシン(5mC)をシトシン(C)に戻す反応を脱メチル化というが...TET タンパク質が作用した後、TDG (Thymine DNA glycosylase)が作用する能動的な脱メチル化過程について、それぞれのタンパク質の役割、その他の付随して生じる過程を含めて 説明しなさい。"
L05,TETタンパク質と能動的・受動的脱メチル化,2018,問1(11),"DNA からメチル化が失われる現象を脱メチル化というが...DNA 複製を必要としないものを（ ）的な脱メチル化、DNA複製が必要なものを（ ）的な脱メチル化、という。"
L05,TETタンパク質と能動的・受動的脱メチル化,2020,問(8),"DNA のメチル化シトシン(5ｍC)がシトシン(C)に変化する反応を脱メチル化というが...Ⅰ.メチル化シトシンに TET タンパク質が作用すると、メチルシトシンは(8-A)シトシン、(8-B)シトシン、(8-C)シトシンという塩基に、順に変化する。このうちの、2段階目と 3段階目に生じる塩基には、TDG が作用して、DNA 鎖から修飾塩基が(8-D)。その後に、(8-E)が生じて...Ⅱ.TET タンパク質によって変化した 3 種類の塩基と通常のシトシンとのヘミメチル化は...DNMT1による維持メチル化が効率よく生じないため、([8-F]転写・翻訳・修復・複製)の時に受動的な脱メチル化が生じる原因となり得る。"
L05,TETタンパク質と能動的・受動的脱メチル化,2022,問6,"DNAのシトシン塩基はメチル化を受けるとメチル化シトシン(5mC)に変化する。...メチル化シトシンにTETタンパク質が作用すると、メチルシトシンは(23)シトシン、(24)シトシン、(25)シトシンと、順に変化する。"
L05,TETタンパク質と能動的・受動的脱メチル化,2022,問8,"DNAのメチル化シトシンがシトシン(C)に変化する反応を脱メチル化というが...Ⅰ.シトシンはメチル化によって(23)シトシン、(24)シトシン、(25)シトシンと、順に変化する。このうちの、3段階目と4段階目に生じる塩基にTDG(thymineDNAglycosylase)が作用して(26)が起きる。その結果、DNAの修復を経て...「DNA鎖の（27）→DNA鎖の合成→DNA鎖の（28）」...Ⅱ.TETタンパク質によって変化し3種類の塩基と...維持メチル化が効率よく生じないため、(29)【転写・翻訳・修復・複製】の時に(30)脱メチル化が生じる原因となり得る。"
L05,TETタンパク質と能動的・受動的脱メチル化,2023,問(7),"TDG は（ ）を⾏う。この反応の後に DNA の修復反応が働くことで...「DNA鎖の( ) →DNA鎖の合成→DNA鎖の( )」の過程のことをいう。メチルシトシンに TET タンパク質が作⽤すると、メチルシトシンは、5-(A)シトシン、5-(B)シトシン、5-(C)シトシンという塩基に、順に変化する。"
L05,TETタンパク質と能動的・受動的脱メチル化,2025,問1(5),"DNA のシトシン塩基はメチル化を受けるとメチル化シトシン(5mC)に変化する。...メチル化シトシンに TET タンパク質が作用すると、メチルシトシンは(23)シトシン、(24)シトシン、(25)シトシンと、順に変化する。5mC 及びメチル化シトシン(23)~(25)の側鎖に当てはまるものを選択肢から選んで答えよ。"
L05,TETタンパク質と能動的・受動的脱メチル化,2025,問1(6),"シトシンはメチル化によって(23)シトシン、(24)シトシン、(25)シトシンと、順に変化する。このうちの、3 段階目と 4 段階目に生じる塩基に TDG(thymineDNAglycosylase) が作用して(26)が起きる。...「DNA 鎖の（27）→DNA 鎖の合成→DNA 鎖の（28）」の過程のことをいう。 複製によって受動的メチル化が生じる理由は？"
L06,染色体の高次構造（Hi-C法、TAD等）,2020,問(2),"単一細胞内の染色体 DNAの構造解析が行われている。核内で近接する DNA部位を明らかにするために用いられた方法の名称は、([2-A]ChlP-seq法・EMSA法・3C法・Hi-C法・ChlP on chip法・クライオ電子顕微鏡観察法)である。...転写が盛んな遺伝子は、([2-C]核膜に近い位置・核の中心部分・核膜近傍と中心部分との間の部分)に多いことが観察されている。"
L06,染色体の高次構造（Hi-C法、TAD等）,2020,問(12),"右 の 図 に は 、 あ る 染 色 体 領 域 の 遺 伝 子 (WNT6,IHH,EPHA4,PAX3)の配置、正常な染色体の Topologically Associating Domain(TAD)の様子 (図 A の上部)、疾患で見出された欠失(図 B)と逆位(図 C)の様子が示されている。[12-A]図 Aの上部の点線で囲まれた三角形の部分は、どのようなことを意味しているのかを記しなさい。"
L06,染色体の高次構造（Hi-C法、TAD等）,2022,問10,"近年、核内の染色体領域には相互に近接し領域間相互作用をする部位があることがわかっており、この構造単位を(36)と呼ぶ。単一細胞において核内で近接するDNA部位を明らかにするために用いられた方法の名称は、(37)法である。...末端を(39)する。...空間的に（40）【遠/近】くの部位を連結させ...転写が盛んな遺伝子は（42）【核膜に近い部分に/核の中心部分に/核膜近傍と中心部分との間の部分に/特に規則性などなく】存在する... (36)は(43)...構造を基本単位として緻密に折りたたまれている...(44)複合体が関与...形成停止には、(45)結合配列が関わっている。...方向が重要...（47）【1/2/3/4】種類のコンパートメントに分けられる。"
L06,染色体の高次構造（Hi-C法、TAD等）,2023,問(?),"近年、核内の染⾊体領域には相互に近接し領域間相互作⽤をする部位があることがわかっている。...（27）処理した後、末端で（28）反応を⾏い（28）部位を連結させる。...転写が盛んな遺伝⼦は（核膜に近い位置・核の中⼼部分・核膜近傍と中⼼部分との間の部分）に存在している。...（１・２・３・４）種類のコンパートメントに分けることができる。"
L06,染色体の高次構造（Hi-C法、TAD等）,2025,問1(7),"近年、核内の染色体領域には相互に近接し領域間相互作用をする部位があることがわかっており、この構造単位を TAD（(36)ドメイン）と呼ぶ。単一細胞において核内で近接する DNA 部位を明らかにするために用いられた方法の名称は、Hi-C 法である。...制限酵素で処理した後、末端を(39)する。これによって空間的に（40）【遠/近】くの部位を連結させ...転写が盛んな遺伝子は（42）【核膜に近い部分に/核の中心部分に/核膜近傍と中心部分との間の部分に/特に規則性などなく】存在することが明らかになった。 (36)は(43)構造を基本単位として緻密に折りたたまれている...コヒーシン...CTCF...方向...コンパートメントに分けられる。 図の点が何を意味するか述べよ"
L07,ヒストンバリアント（H3.3、CENP-A等）,2020,問(9),"特定のゲノム領域のヒストン修飾の変更は、ヒストン修飾を触媒する酵素のリクルートの他、(9-A)によっても行われていると考えられている。講義では、テトラサイクリンによって転写活性化が可能な人工遺伝子の転写活性化誘導過程を観察した実験で、遺伝子領域にヒストン(9-B)が集積する例を紹介した。"
L07,ヒストンバリアント（H3.3、CENP-A等）,2022,問9,"特定のゲノム領域のヒストン修飾の変更は...人工遺伝子の転写活性化誘導過程を観察した実験で、遺伝子領域にヒストン(32)が集積する例を紹介した。それに関連して、以下の選択肢から、図の空欄（33）～（35）に当てはまるヒストン亜型の名称を埋めなさい。選択肢：〔H3.3, CENP-A, H2Aa.X, H2A.Z, macroH2A〕"
L07,ヒストンバリアント（H3.3、CENP-A等）,2023,問(図),"図に当てはまるヒストンを選べ。(図はおそらくこれで 2022 と変わらなかったはず…) 選択肢：〔H3.3, CENP-A, H2Aa.X, H2A.Z, macroH2A〕"
L07,ヒストンバリアント（H3.3、CENP-A等）,2025,問3,"H3.3, CENP-A, H2Aa.X, H2A.Z, macroH2A の領域を選ぶ (1)転写が活性な遺伝子のエンハンサーやプロモーターに存在する H2A の亜型 (2)染色体全体に存在する H2A の亜型 (3)不活性な染色体に存在している H2A の亜型。不活性な X 染色体にも存在している (4)セントロメアに存在する H3 の亜型 (5)一般的に H3 と呼ばれるもの (6)活性な遺伝子のエンハンサーやプロモーターに多く存在することが知られている H3 の亜型"
L08,ChIP-seqなどを用いたゲノム構造のデータ解釈,2020,問(11),"上の図は、ある染色体領域のクロマチン免疫沈降実験(ChIP-seq)の結果を表示したものである。免疫沈降の標的因子が図に左に示してある。ピークの高さはそれぞれの因子の存在頻度が反映されているものとする。[11-A]ChIP-seq の図の矢印で示された、部位 1 と部位 2 のそれぞれの予想される機能を以下の 5 種類から選んで、解答欄に記述してください。...[11-B]判断した理由を記しなさい。"
L08,ChIP-seqなどを用いたゲノム構造のデータ解釈,2024,問I/II,"I) 図 A の三つの矢印は、プロモーターと活性なエンハンサーの接触点を示している。ChIP-seq の結果の右側の図ではその接触領域を示している。A) その図のように、ChIP-seq の結果の図で、矢印で示した接触点を図示してください。B) 一方はプロモーター、もう一方は活性なエンハンサーとして、その判断理由を図中の遺伝子とChIP-seq の結果から説明してください。II) 図 B 中の濃い長方形シグナルは何を意味しているのか？また、遺伝子の転写にどのような影響があるのかを ChIP-seq の結果に基づいて説明してください。"
L08,ChIP-seqなどを用いたゲノム構造のデータ解釈,2025,問4,"[記述課題] ChIP-sec 法を用いた解析結果の図から、以下のことについて推測されることとその理由 ・oct4 の転写について ・転写因子の結合について ・ヒストン修飾 H3K4me3 の特徴について"
L09,酵母の転写開始点付近のヌクレオソーム配置,2020,問(1),"遺伝子部分のヌクレオソームについての問題です。酵母の転写が盛んな遺伝子の転写開始点付近の上流側(転写の進行方向の逆側)では、ヌクレオソームが([1-A]失われている・高密度に形成されている)。また、転写開始点付近の下流側では、([1-B]ヌクレオソームはほとんど観察されない・ヌクレオソームの配置がそろっている・ヌクレオソームの配置に規則性は見られない)。"
L09,酵母の転写開始点付近のヌクレオソーム配置,2022,問1,"遺伝子部分のヌクレオソームについての問題です。出芽酵母の転写が盛んな転写開始点付近の上流側（転写方向の逆側）ではヌクレオソームが（1）【失われている/高密度に形成されている】。また、転写開始点の下流側では、ヌクレオソームは（2）【位相が揃っている/ほとんど観察されない/配置に規則性はない】。"
L09,酵母の転写開始点付近のヌクレオソーム配置,2023,問(1),"出芽酵⺟の転写が盛んな転写開始点付近では、ヌクレオソームが(1)【失われている/⾼密度に形成されている】。また、転写開始点の下流側では、ヌクレオソームは(2)【位相が揃っている/ほとんど観察されない/配置に規則性はない】。"
L10,クロマチン免疫沈降法(ChIP)の実験概略,2017,問1,"細胞の核内の「染色体の領域」のうち、ヌクレオソームを構成するヒストン H3 の、アミノ末端から 9 番目のリシンがトリメチル化(H3K9me3)されている領域を調べたい。これを明らかにする、クロマチン免疫沈降法の概略を記しなさい。"
L10,クロマチン免疫沈降法(ChIP)の実験概略,2018,問3,"ES 細胞の核内の「染色体の領域」のうち、ヌクレオソームを構成するヒストン H3 の、アミノ末端体 9 番目のリシンがトリメチル化(H3K9me3)されている領域を網羅的に調べたい。これらを明らかにする、クロマチン免疫沈降法の概略を記しなさい。"
L10,クロマチン免疫沈降法(ChIP)の実験概略,2022,問11,"クロマチン免疫沈降法について、ES細胞内でOCT4タンパク質が結合するDNA部位を網羅的に解析する方法を例に挙げて概説せよ。"
L10,クロマチン免疫沈降法(ChIP)の実験概略,2023,記述,"[記述問題] ES細胞内で CTCF 結合領域を調べるための ChIpseq 法の概略についてかけ。"
L11,ポリコームタンパク質(PcG)複合体等の〇✕問題,2023,○×(2),"ポリコームタンパク質(PcG)複合体である PRC１は H2AK119をユビキチン化し、PRC2 は H3K27をメチル化する。"
L11,ポリコームタンパク質(PcG)複合体等の〇✕問題,2025,問2(2),"ポリコームタンパク質(PcG)複合体である PRC１は H2AK119 をユビキチン化し、PRC2 は H3K27 をメチル化する。（〇）"
L11,ポリコームタンパク質(PcG)複合体等の〇✕問題,2025,問2(3),"ATAC-seq はクロマチンが開いた部分をマッピングする（〇）"
L11,ポリコームタンパク質(PcG)複合体等の〇✕問題,2025,問2(4),"ATAC-seq は M なんちゃらを認識する（✕）"
L12,DNAからmRNAへの転写とtRNAアンチコドン配列,2016,問1(4),"DNA 断片が 5’-GGTTTA-3’であるとき、mRNA の配列は 5’-(6 )-3’となり、tRNA アンチコドンの配列は 5’-(7 )-3’と 5’-(8 )-3’である。"
L12,DNAからmRNAへの転写とtRNAアンチコドン配列,2017,問1(5),"DNA断片が 5’―GGTTTA―3’であるとき、mRNAの配列は 5’―(⑧)―3’となり、tRNAアンチコドンの配列は 5’―(⑨)―3’と 5’―(⑩)―3’である。"
L12,DNAからmRNAへの転写とtRNAアンチコドン配列,2018,問1(4),"DNA 断片が 5’-GGTTTA-3’であるとき，mRNA の配列は 5’-（⑦）-3’となり，tRNA アンチコドンの配列は 5’-（⑧）-3’と 5’-（⑨）-3’である．"
L12,DNAからmRNAへの転写とtRNAアンチコドン配列,2022,問1(2),"DNA配列が5’-GGTTTA-3’であるとき、転写されたmRNAの配列は 5’-(D)-3’となり、tRNAアンチコドンの配列は5’-(E)-3’と 5’-(F)-3’である。"
L12,DNAからmRNAへの転写とtRNAアンチコドン配列,2023,問【1】,"mRNA の配列が 5'CUU3'のとき、t RNA はこのmRNA のコドンを認識する。tRNAアンチコドンに結合するアミノ酸は(③)である。"
L12,DNAからmRNAへの転写とtRNAアンチコドン配列,2025,問【1】,"DNA 断片が 5’-GGTTTA-3’であるとき,mRNA の配列は 5’-(7)-3’となり,tRNA アンチコドンの配列は 5’-(1)-3’と 5’-(2)-3’である."
L13,リボソームのサブユニットの役割,2018,問1(5),"リボソームは 2つのサブユニットから成り，翻訳の活性中心は（⑩ 大・小）サブユニットにある．"
L13,リボソームのサブユニットの役割,2020,問[1],"リボソームの大サブユニットと小サブユニットの役割について説明せよ。"
L13,リボソームのサブユニットの役割,2022,問1(5),"リボソームは2つのサブユニットからなり、翻訳の活性中心は（J）サブユニットにある。"
L13,リボソームのサブユニットの役割,2025,問【3】,"リボソームの大サブユニット、小サブユニットそれぞれの役割を述べよ"
L14,タンパク質の合成過程,2016,問3,"タンパク質の合成における伸長反応の過程について、原核生物の場合を例に挙げて説明せよ。"
L14,タンパク質の合成過程,2020,問[2],"タンパク質合成の伸長における GTP加水分解の役割について説明せよ。"
L14,タンパク質の合成過程,2022,問1(3)(4),"(3)タンパク質の翻訳の際、リボソームの大サブユニットがmRNAの3’側に移動し、tRNAがA部位からP部位に移動する際に起こる反応を(G)という。(4)タンパク質の合成の伸長期に、mRNAの塩基配列は(H)の方向で読まれ、ポリペプチドは(I)の方向で合成される。"
L14,タンパク質の合成過程,2025,問【2】,"タンパク質の合成は開始・伸長・終結の過程に分けられる。以下はどの過程であるか。(1)リボソームが mRNA に結合する (2)ポリペプチドが合成される (3)サブユニットが解離する (4)リボソームがコドン配列に沿って移動する"
L15,PCRの原理,2025,問【3】,"PCR の原理を述べよ"
L16,プライマーの分解されやすさ,2025,問【3】,"プライマーがあって、その分解されやすさを問う問題(A:CG に富むもの、B: AT に富むもの)"
L17,DNA修復,2025,問【3】,"DNA の修復を４つ挙げ、それらの特徴についてそれぞれ説明せよ。"
L18,リボソームのサブユニットの役割,2018,問1(5),"リボソームは 2つのサブユニットから成り，翻訳の活性中心は（⑩ 大・小）サブユニットにある．"
L18,リボソームのサブユニットの役割,2020,問5,"リボソームの大サブユニットと小サブユニットの役割について説明せよ。"
L18,リボソームのサブユニットの役割,2022,問1(5),"リボソームは2つのサブユニットからなり、翻訳の活性中心は（J）サブユニットにある。"
L18,リボソームのサブユニットの役割,2025,問【3】,"リボソームの大サブユニット、小サブユニットそれぞれの役割を述べよ"
L19,タンパク質の合成過程,2016,問3,"タンパク質の合成における伸長反応の過程について、原核生物の場合を例に挙げて説明せよ。"
L19,タンパク質の合成過程,2020,問4,"タンパク質合成の伸長における GTP加水分解の役割について説明せよ。"
L19,タンパク質の合成過程,2022,問1(3)(4),"(3)タンパク質の翻訳の際、リボソームの大サブユニットがmRNAの3’側に移動し、tRNAがA部位からP部位に移動する際に起こる反応を(G)という。(4)タンパク質の合成の伸長期に、mRNAの塩基配列は(H)の方向で読まれ、ポリペプチドは(I)の方向で合成される。"
L19,タンパク質の合成過程,2025,問【2】,"タンパク質の合成は開始・伸長・終結の過程に分けられる。以下はどの過程であるか。(1)リボソームが mRNA に結合する (2)ポリペプチドが合成される (3)サブユニットが解離する (4)リボソームがコドン配列に沿って移動する"
L20,tRNAの性質とアミノアシル化,2016,問1(5),"tRNA へのアミノ酸の付加反応は(9 )によって触媒される反応であり、(10 )と(11 )といった 2 つの過程から成る(12 可逆的・不可逆的)反応である。"
L20,tRNAの性質とアミノアシル化,2017,問2(2),"tRNAへのアミノ酸の付加反応を簡潔に説明せよ。"
L20,tRNAの性質とアミノアシル化,2018,問2(2),"tRNAのゆらぎ仮説について簡潔に説明せよ。"
L20,tRNAの性質とアミノアシル化,2022,問3(3),"tRNAへのアミノ酸の付加反応について説明せよ。"
L20,tRNAの性質とアミノアシル化,2023,問2(2),"tRNA のゆらぎ仮説について簡潔に説明せよ"
L21,mRNA前駆体のプロセシング,2016,問1(3),"真核生物の典型的な mRNA が機能的役割を持つようになるプロセシングの段階には、5’末端の(4 )、3’末端の(5 )、スプライシングがある。"
L21,mRNA前駆体のプロセシング,2017,問3,"真核生物の典型的な mRNA 前駆体が機能的役割をもつようになるプロセシングについて、3つの過程を挙げ、各過程を説明せよ。"
L21,mRNA前駆体のプロセシング,2018,問2(1),"mRNA前駆体のプロセシングのうち，5’末端側の修飾について簡潔に説明せよ。"
L21,mRNA前駆体のプロセシング,2023,問2(1),"mRNA 前駆体のプロセシングのうち、5ʼ末端側の修飾について簡潔に説明せよ"
L22,RNAの基本構造と構成成分,2016,問1(1),"DNA とタンパク質を仲介する働きを持つ RNA は、リン酸・塩基・(1 )から成る。"
L22,RNAの基本構造と構成成分,2017,問1(3),"生体内でもっとも大量に存在する RNAは、(⑤mRNA・rRNA・tRNA)である。"
L22,RNAの基本構造と構成成分,2018,問1(1),"RNAはリン酸・（①）・塩基から成る．塩基は 4種類あり，このうちピリミジン塩基は（②（2種類）），プリン塩基は（③（2種類））である．"
L22,RNAの基本構造と構成成分,2022,問3(1),"DNAとRNAの構造上の違いについて答えよ。"
L22,RNAの基本構造と構成成分,2023,問【1】,"RNA はリン酸、塩基、(1)からなる。塩基は、DNA がアデニン、グアニン、シトシン、チミン であり、RNA はチミンの代わりに(2)がある。また、DNA が⼆重らせん構造をとる 2本鎖であ るのに対して、RNA は(3)である。"
